barcode	stain_status	id	accessURI	institutionCode	catalogNumber	recordedBy	year	month	day	verbatimEventDate	country	stateProvince	county	locality	identifiedBy	scientificName
00899350	stained	http://n2t.net/ark:/65665/3de7fbbd2-0585-4682-bd36-396cd2c7f282	http://n2t.net/ark:/65665/m323e19b7b-b38a-4ef4-a41e-f01d4f9920ca	US	51165	Wilkes Explor. Exped.	1838				Sumatra			Mt. Ophir		Abrodictyum rigidum
00899351	stained	http://n2t.net/ark:/65665/3068270c3-6f28-457b-8467-ebc98385f316	http://n2t.net/ark:/65665/m3dd51398b-eb5e-4a0e-b1c3-de0c00d16a34	US	51157	Wilkes Explor. Exped.	1838				Fiji					Didymoglossum bimarginatum
00899352	stained	http://n2t.net/ark:/65665/3c5e3cadb-a04f-410e-8864-509443c36ceb	http://n2t.net/ark:/65665/m34c59ed45-44db-4643-8428-833f2473bddf	US	51175	Wilkes Explor. Exped.	1838				French Polynesia			Tahiti		Crepidomanes humilis
00899353	stained	http://n2t.net/ark:/65665/33cfc7002-2727-4621-9133-19e2d4ab8591	http://n2t.net/ark:/65665/m33fb23718-1b20-4f56-ab27-4523437766b4	US	51159	Wilkes Explor. Exped.	1838				Fiji			Feejee Islands		Crepidomanes humilis
00899354	stained	http://n2t.net/ark:/65665/3dfd64f8e-832d-46a3-b445-dad75d652ffb	http://n2t.net/ark:/65665/m3a466cd75-31d2-4a9a-bbfd-ce6e542c61b0	US	51177	Wilkes Explor. Exped.	1838				French Polynesia					Crepidomanes intermedium
00899355	stained	http://n2t.net/ark:/65665/3a9327b7d-5a4b-4dcb-ab01-d8b4ce82eee9	http://n2t.net/ark:/65665/m3b9360b12-01a3-4507-9fcd-2f4a855d26ca	US	51154	Wilkes Explor. Exped.	1838				Philippines			Philippine Islands		Vandenboschia maxima
00899356	stained	http://n2t.net/ark:/65665/31688a2db-3f5d-4961-9860-e080886b156a	http://n2t.net/ark:/65665/m31e61e1a6-a460-49ec-ab89-d59de23de802	US	51152	Wilkes Explor. Exped.	1838				Philippines			Philippine Islands		Hymenophyllum pallidum
00899361	stained	http://n2t.net/ark:/65665/3f4d1a903-9f37-4089-adce-9b88475b4dd1	http://n2t.net/ark:/65665/m307a3e9f2-6aaa-4229-abfd-2f84e1fe56b2	US	95842	Wilkes Explor. Exped.	1838				New Zealand			New Zealand		Sticherus flabellatus
00899362	stained	http://n2t.net/ark:/65665/357517963-e967-40c6-a3b0-00969504d006	http://n2t.net/ark:/65665/m3d579e856-f4f7-4826-9f88-35c222e395c4	US	95843	Wilkes Explor. Exped.	1838				Australia	New South Wales		New South Wales		Sticherus flabellatus
00899363	stained	http://n2t.net/ark:/65665/3bba0f411-1516-485f-94eb-fa9a6dd7a9b4	http://n2t.net/ark:/65665/m3fb22baf7-5d95-484c-8015-bac52dddacc2	US	95844	Wilkes Explor. Exped.	1838				New Zealand			New Zealand		Gleichenia dicarpa
00899365	stained	http://n2t.net/ark:/65665/3ae83d2c8-cd52-413a-8d1f-098cdfd69db2	http://n2t.net/ark:/65665/m3d51502c6-c33f-4666-9320-3693f75fc5fa	US	68227	Wilkes Explor. Exped.	1838				Philippines			Philippine Islands		Gleichenia hooglandii
00899366	stained	http://n2t.net/ark:/65665/343246073-d0a4-4d9b-a125-c3084fb29468	http://n2t.net/ark:/65665/m359b50ed4-cba5-4299-8f3a-dc09828f5392	US	95846	Wilkes Explor. Exped.	1838				Australia	New South Wales		New South Wales		Gleichenia microphylla
00899367	stained	http://n2t.net/ark:/65665/31480f466-03b7-487a-bd0f-64018b1ee366	http://n2t.net/ark:/65665/m32c5c7bb5-eea2-44e8-b782-f4820749244e	US	95849	Wilkes Explor. Exped.	1838				Philippines			Philippine Islands		Dipteris conjugata
00899423	stained	http://n2t.net/ark:/65665/3518bd8ff-4e6b-475d-b770-87025ced33de	http://n2t.net/ark:/65665/m33f731741-79dd-4284-900a-9d66d03c654d	US	98747	Wilkes Explor. Exped.	1838				Philippines					Asplenium excisum
00899424	stained	http://n2t.net/ark:/65665/323451f8e-ecd8-4335-80dc-911c47e3e210	http://n2t.net/ark:/65665/m3640923ab-b09b-4c67-91bd-558897cc70be	US	72570	Wilkes Explor. Exped.	1838				Philippines			Philippine Islands		Tapeinidium luzonicum
00899437	stained	http://n2t.net/ark:/65665/33cd1a5f6-b689-42e7-befb-9bdcf6bc9619	http://n2t.net/ark:/65665/m34591304f-745a-47fa-99a3-b9fa054963c0	US	95817	Wilkes Explor. Exped.	1838				Fiji			Feejee Islands		Asplenium lucidum
00899438	stained	http://n2t.net/ark:/65665/3c6a2b747-9b5d-4de8-93ff-636f97265d77	http://n2t.net/ark:/65665/m37ca95023-8dd4-47e2-a224-b5b013573160	US	95818	Wilkes Explor. Exped.	1838				Azores			Ponta Delgada		Asplenium marinum
00901803	stained	http://n2t.net/ark:/65665/3243cfe53-bfd8-4bac-a5a1-0cd36e06c654	http://n2t.net/ark:/65665/m357951aba-494b-49dd-afc1-fe6e42f0c7b4	US	49451	E. Bourgeau	1866	6		-- Jun 1866	Mexico			Cuspango près Cordova.		Leucaena brachycarpa
00901814	stained	http://n2t.net/ark:/65665/38f2193df-8659-40dc-ae5f-57fde43786e2	http://n2t.net/ark:/65665/m38cbcfc4b-f0f3-41e1-98f3-904c88696260	US	95269	C. C. Parry, J. M. Bigelow, C. Wright & A. Schott				-- --- ----	United States	Texas		Collected… chiefly in the Valley of the Rio Grande, below Doñana.		Penstemon linarioides
00901815	stained	http://n2t.net/ark:/65665/35f8662cb-058f-41c7-9e5f-a4705c91f067	http://n2t.net/ark:/65665/m337f77e61-aee6-420e-ab33-eb69ab63b6d6	US	94415	E. Palmer				-- --- 18--	United States	Arizona				Phlox amabilis
00901821	stained	http://n2t.net/ark:/65665/3c5f79251-c038-418a-bfbc-54fdea771ed0	http://n2t.net/ark:/65665/m3974f21bc-6ee8-43ef-8002-1669f4419e12	US	136743	K. G. Kotschy	1839	11	22	22 Nov 1839	Sudan			Inter fruticeta Zizyphi prope urbem Cordofanam Obeid.		Crotalaria atrorubens
00901823	stained	http://n2t.net/ark:/65665/3e62c4b0a-97b2-49e5-b849-2a702c676e68	http://n2t.net/ark:/65665/m30b46ed70-3396-4e58-b259-34ff29c684a5	US	136742	G. W. Schimper	1838	9	24	24 Sep 1838	Ethiopia			Prope Gapdiam, in prov. Tigré.		Crotalaria astragalina
00901826	stained	http://n2t.net/ark:/65665/366688d3b-d932-42af-ab5e-a681a8288934	http://n2t.net/ark:/65665/m31ab86db9-f659-4f0c-9019-cb17c3d74e86	US	4766	F. J. Lindheimer	1847			-- --- 1847	United States	Texas		Gravelly banks of rivulets near Fredricksburg.		Vesicaria densiflora
00901828	stained	http://n2t.net/ark:/65665/338cab05b-f896-4406-b9c4-411850aa0b84	http://n2t.net/ark:/65665/m3acc19f85-618c-4d5f-857e-2bcdee087412	US	4770	F. J. Lindheimer	1846			-- --- 1846	United States	Texas				Vesicaria densiflora
00901829	stained	http://n2t.net/ark:/65665/30247725e-d3a2-4d5f-ad8c-ada839b31e2f	http://n2t.net/ark:/65665/m318621b44-03da-455c-b346-f9404e08cf38	US	93045	E. Palmer	1869			-- --- 1869	United States	Arizona	Cococino	"[Protologue: ""San Francisco Mts., Arizona""]"		Lupinus palmeri
00901849	stained	http://n2t.net/ark:/65665/33c329b0e-de7a-4a03-b8e9-4e49550c2bca	http://n2t.net/ark:/65665/m3af56f9dc-43a0-47ee-a2cc-879c2ae35dff	US	1093899	G. W. Schimper	1837	9	22	-- --- ----	Ethiopia			"In terra sicca ad radices montis Scholoda. [Protologue, ""in terra sicca ad radices montis Selleuda, prope Adoua""]"		Andropogon insculptus
00901854	stained	http://n2t.net/ark:/65665/3212d84cb-09ed-41a5-924a-9af2d8f09ca2	http://n2t.net/ark:/65665/m3f2b06b95-e2a6-464d-9939-dd8f9020f551	US	95272	C. C. Parry & E. Palmer	1878			-- --- 1878	Mexico	San Luis Potosí			Hernández-Sandoval, L. G.	Nolina humilis
00901855	stained	http://n2t.net/ark:/65665/3b6aee24f-d270-47fe-95c4-743c375fa53d	http://n2t.net/ark:/65665/m32edea759-b769-45f4-ae54-2598b9dacc3c	US	281903	Dr. King's collector	1885	7		-- Jul 1885	Malaysia	Perak				Melanorrhoea woodsiana
00901856	stained	http://n2t.net/ark:/65665/39a91b781-1507-4a57-97e0-aab0fe89a5d4	http://n2t.net/ark:/65665/m3ce98b716-a808-4cfd-a731-dee9bd17923d	US	282157	Dr. King's collector	1885	5		-- May 1885	Malaysia	Perak				Melanorrhoea aptera
00901857	stained	http://n2t.net/ark:/65665/33cd5592d-a081-4863-9d3e-969a2f96b84e	http://n2t.net/ark:/65665/m3dd00d00d-709d-4649-821a-2be890b31e34	US	281911	Dr. King's collector	1884	11		-- Nov 1884	Malaysia	Perak				Melanochyla kunstleri
00901858	stained	http://n2t.net/ark:/65665/3c01df7b1-93e3-46cb-b68c-1a302a906732	http://n2t.net/ark:/65665/m34c5aa646-d5df-4113-808b-64835ec854d7	US	281909	Dr. King's collector	1885	2		-- Feb 1885	Malaysia	Perak				Melanochyla bracteata
00901859	stained	http://n2t.net/ark:/65665/3b9c350c0-c741-45df-82fe-95f92475589e	http://n2t.net/ark:/65665/m32bd2bbef-73b5-4483-8cd6-e8236d481327	US	281910	Dr. King's collector	1884	2		-- Feb 1884	Malaysia	Perak				Melanochyla bracteata
00901860	stained	http://n2t.net/ark:/65665/3e4f493be-cc2a-48b1-aeae-3dfe9036976d	http://n2t.net/ark:/65665/m3bab0bac3-4424-4637-b96d-c79684ed2d5f	US	281907	Dr. King's collector	1884	10		-- Oct 1884	Malaysia	Perak				Melanochyla nitida
00901861	stained	http://n2t.net/ark:/65665/3a7d2e05c-49e2-48e9-8060-3237cdc238d4	http://n2t.net/ark:/65665/m3a0f82944-4dbd-4334-86d9-9c3582a6a7be	US	281908	Dr. King's collector	1884	8		-- Aug 1884	Malaysia	Perak				Melanochyla densiflora
00901866	stained	http://n2t.net/ark:/65665/379c26da3-c356-4c2c-a8cc-9db342b8c8ae	http://n2t.net/ark:/65665/m37e864be3-1f1f-4ca4-9faf-108831c08208	US	15152	C. J. Maximowicz	1862	11		-- Nov 1862	Japan			Japonia. Yokohama. Fudsi yama.		Phellodendron japonicum
00901877	stained	http://n2t.net/ark:/65665/3dbebf8f9-4142-4f5f-9a61-6c8b65f47908	http://n2t.net/ark:/65665/m3e9f98c67-e2d4-4af7-904c-2676a72b331e	US	95273	C. C. Parry, J. M. Bigelow, C. Wright & A. Schott				-- --- ----	United States	New Mexico		Chiefly in the Valley of the Rio Grande, below Doñana.		Antennaria marginata
00901878	stained	http://n2t.net/ark:/65665/3d00d59cd-a9bc-4468-afcc-06e4c208d707	http://n2t.net/ark:/65665/m3bfcd9c38-d3de-432a-ace8-cf332550a237	US	95274	C. C. Parry, J. M. Bigelow, C. Wright & A. Schott				-- --- ----	United States	New Mexico		Chiefly in the Valley of the Rio Grande, below Doñana.		Antennaria marginata
00901880	stained	http://n2t.net/ark:/65665/3d8c12a00-427e-4975-801e-59f670287d0b	http://n2t.net/ark:/65665/m366c770c8-da92-4fb0-9a54-ec9136422900	US	274896	Dr. King's collector	1883	4		-- Apr 1883	Malaysia	Perak		Larut, Perak.		Popowia perakensis
00901881	stained	http://n2t.net/ark:/65665/3de1a7dbd-883b-4b44-ac46-b1dfd87a0660	http://n2t.net/ark:/65665/m3765e2126-cb98-413a-b6b0-ebb206d081d4	US	274899	Dr. King's collector	1883	7		-- Jul 1883	Malaysia	Perak		Larut, Perak.		Popowia velutina
00901885	stained	http://n2t.net/ark:/65665/3b6731cf2-dc87-4f94-ad3c-7b1173736b8c	http://n2t.net/ark:/65665/m38c11efef-87f4-43f9-8078-28668c90e02e	US	90187	A. W. Chapman					United States	Florida				Spigelia gentianoides
00901887	stained	http://n2t.net/ark:/65665/348443c3b-c014-4ad8-b5a1-ae2562e926da	http://n2t.net/ark:/65665/m31e1f1587-8049-4cef-a2cd-7611fcfb0314	US	90198	C. Wright				-- --- ----	Cuba					Spigelia sphagnicola
00901888	stained	http://n2t.net/ark:/65665/3a51adcd9-f78e-4144-a725-35b1775f96b6	http://n2t.net/ark:/65665/m3c602f1b5-c705-45cb-b7e9-b1aabddf1f00	US	36650	C. Wright	1860			1860 to -- --- 1864	Cuba					Rajania cephalocarpa
00901891	stained	http://n2t.net/ark:/65665/37dc10b13-8b25-437f-a5df-012567db9be2	http://n2t.net/ark:/65665/m3e9810389-d3b3-4f7d-bc4c-6a34fb9422e6	US	261618	B. Scortechini					Malaysia	Perak				Canarium caudatum
00901892	stained	http://n2t.net/ark:/65665/30a0a32bd-718b-403c-ae87-76192ab65ff6	http://n2t.net/ark:/65665/m33219c390-506d-4e28-93b3-adc1ec528353	US	261619	B. Scortechini					Malaysia	Perak				Canarium caudatum
00901895	stained	http://n2t.net/ark:/65665/38ea89e1f-8f04-446a-a5fd-1f01b62729e2	http://n2t.net/ark:/65665/m3ff49dad0-855c-4e11-959a-f5e5d485ae01	US	19231	A. Kellogg	1867			1867	United States	Alaska		Kodiak.		Salix conjuncta
00901896	stained	http://n2t.net/ark:/65665/3d3e3f612-5da6-4a18-ab87-66e54c608299	http://n2t.net/ark:/65665/m3e2b3cc03-bd8c-44a0-aa29-69da7df2aa86	US	19235	A. Kellogg	1867			1867	United States	Alaska		Kodiak.		Salix conjuncta
00901944	stained	http://n2t.net/ark:/65665/3430bee2b-61ba-4113-8ea5-84c65d823191	http://n2t.net/ark:/65665/m34b492c39-77b3-44f7-ad26-51543ee63e2f	US	732986	G. W. Schimper	1837	10	3	03 Oct 1837	Ethiopia			Inter lapides partis mediae et superioris australis montis Scholoda.		Anthephora hochstetteri
00901973	stained	http://n2t.net/ark:/65665/36a421645-aeea-4f88-a215-8980c0adc283	http://n2t.net/ark:/65665/m3d9acbc0f-da72-4b52-a052-d96c3a2254e4	US	15509	L. J. Xantus	1859	8			Mexico	Baja California Sur		Cape St. Lucas, & c., Lower California.		Bursera microphylla
00901991	stained	http://n2t.net/ark:/65665/3c8930763-c609-498b-bb8a-336a5431c1e2	http://n2t.net/ark:/65665/m304a35ba2-adc7-47da-a1c4-ad27a580d101	US	75986	E. Palmer	1869			1869	United States	Arizona / California		Lower Colorado.	Richardson, A. T.	Coldenia palmeri
00902002	stained	http://n2t.net/ark:/65665/300df1cee-fc04-46ba-99ef-bb0bba5b9caa	http://n2t.net/ark:/65665/m34d498664-daca-4302-b746-d822dacdd1d8	US	19905	F. J. Lindheimer	1846				United States	Texas				Rhus virens
00902028	stained	http://n2t.net/ark:/65665/3b00ad960-af8b-4d41-a3e0-6ad9e0668817	http://n2t.net/ark:/65665/m359880a42-1789-4402-a69c-4ad1f89665c7	US	947762	E. Hall	1872	6	2	02 Jun 1872	United States	Texas		Ponds Hempstead.		Glyceria texana
00902089	stained	http://n2t.net/ark:/65665/30d227760-da2d-418d-bd85-96760e4135b3	http://n2t.net/ark:/65665/m36df743e4-6e3f-4f93-a40a-a7d3b55bfed7	US	93202	C. C. Parry & E. Palmer	1878			-- --- 1878	Mexico	San Luis Potosí		Chiefly in the region of San Luis Potosi.		Baccharis ramiflora
00902146	stained	http://n2t.net/ark:/65665/3282c9b91-ccb5-44df-8535-2431c8ef873d	http://n2t.net/ark:/65665/m3703c02de-695f-4b64-a0eb-cb2cf7ebf87c	US	96013	A. Kellogg & W. G. W. Harford	1869	7	1	01 Jul 1869	United States	California		Red Mts.		Gentiana setigera
00902192	stained	http://n2t.net/ark:/65665/3787977c0-b2a1-44fb-9843-1b5017cb5d20	http://n2t.net/ark:/65665/m3669fdcb2-8ec7-4b9d-baa8-1b899bea4121	US	57127	C. Wright	1851			-- --- 1851 to -- --- 1852	United States	Texas		"Coll. N. Mex. [Coll. Texas according to Cutler, ""sandy hills near Frontera, 26 April 1851"".]"	Ickert-Bond, Stefanie M., (ALA), University of Alaska Museum of the North (UNITED STATES)	Ephedra torreyana
00902193	stained	http://n2t.net/ark:/65665/3eca0b220-ecd2-4d51-8a7c-1a1848825508	http://n2t.net/ark:/65665/m38a8c9607-f5fb-4c3c-853e-0f15ed2bd13d	US	60193	L. Xantus de Vesey	1857			-- --- 1857 to -- --- 1858	United States	California		Fort Tejon and vicinity, California.		Ephedra nevadensis
00902206	stained	http://n2t.net/ark:/65665/317c9f288-547e-4092-917e-a43acb53a903	http://n2t.net/ark:/65665/m33cf72657-0780-481f-b464-20abef7d9384	US	96047	J. L. Berlandier				-- --- ----	United States	Texas		Nueces.		Fraxinus berlandieriana
00902207	stained	http://n2t.net/ark:/65665/310e217f9-9dd6-4d1a-a9b6-42efb8627158	http://n2t.net/ark:/65665/m3ba4752ea-f1fe-4f7d-928f-638239569c73	US	40778	J. L. Berlandier				-- --- ----	United States	Texas				Fraxinus berlandieriana
00902212	stained	http://n2t.net/ark:/65665/319aad7d1-5c83-4dda-a501-02bbda59567d	http://n2t.net/ark:/65665/m3490b36c9-db0a-4c4f-97ce-9ece0ad7b65b	US	49370	C. Wright	1851			-- --- 1851 to -- --- 1852	United States	Texas		Coll. N. Mex.		Fraxinus cuspidata
00902255	stained	http://n2t.net/ark:/65665/3e1b04b95-0f10-4ab3-b467-c3c86ffa930b	http://n2t.net/ark:/65665/m31f525f45-ff34-436b-b275-b623b5408435	US	935544	E. Palmer	1886	6	20	-- --- 1886	Mexico	Jalisco		Near Guadalajara.		Cnidoscolus pringlei
00902257	stained	http://n2t.net/ark:/65665/370352287-530f-4e8d-bf0c-86235ab34f3e	http://n2t.net/ark:/65665/m3ea98d15a-9550-47c5-9cb6-512e3fd0300b	US	76484	C. Wright				-- --- ----	Cuba				Liogier, Alain H.	Jatropha peltata
00902308	stained	http://n2t.net/ark:/65665/313949c6d-d897-47a2-81e1-fb9230af44f8	http://n2t.net/ark:/65665/m30f6729b6-e8f8-49e2-8bd3-379a3444f257	US	10554	C. Wright	1852			-- --- 1852	Mexico			"N. Mex. [protologue, ""Bottoms of Live Oak Creek, and on the San Felipe; July.""]"		Talinum aurantiacum var. angustissimum
00902309	stained	http://n2t.net/ark:/65665/3c9028f24-0052-4a0c-b6ef-5dbfde970b73	http://n2t.net/ark:/65665/m326170be4-ed96-4702-a6b1-f1bd802e7d2f	US	10547	C. Wright	1849	5		-- May 1849 to -- Oct 1849	United States	Texas		"Western Texas to El Paso, New Mexic. [protologue, ""Bottoms of Live Oak Creek, and on the San Felipe; July.""]"		Talinum aurantiacum var. angustissimum
00902310	stained	http://n2t.net/ark:/65665/311754357-d71f-468e-babd-2ad6b73094b3	http://n2t.net/ark:/65665/m3b08a127c-1110-4130-9fc3-a540cc644d30	US	10551	C. Wright	1851			-- --- 1851	Mexico			"N. Mex. [protologue, ""Bottoms of Live Oak Creek, and on the San Felipe; July.""]"		Talinum aurantiacum var. angustissimum
00902311	stained	http://n2t.net/ark:/65665/3a545a0d2-3b46-4a11-bfb3-94dec482fe4d	http://n2t.net/ark:/65665/m37e7df7c5-6f86-4875-ae76-a1064ed75413	US	10550	C. Wright	1852			-- --- 1852	Mexico			"N. Mex. [protologue, ""Bottoms of Live Oak Creek, and on the San Felipe; July.""]"		Talinum aurantiacum var. angustissimum
00902331	stained	http://n2t.net/ark:/65665/37f68e9b5-72ea-4cb9-8e80-40a46279a8ae	http://n2t.net/ark:/65665/m3a9fbdcd8-4e2f-48bd-84fc-334366704d3e	US	252	M. Verreaux	1844			-- --- 1844 to -- --- 1846	Australia			Cote orientale.	Wang, W. T.	Clematis glycinoides var. dentata
00902354	stained	http://n2t.net/ark:/65665/3eb964d84-7f9b-479d-8d35-8fffbc4ff440	http://n2t.net/ark:/65665/m34d54e6c9-3558-44d0-9663-2e193c7a81bb	US	72181	C. C. Parry & E. Palmer	1878			-- --- 1878	Mexico	San Luis Potosí		Chiefly in the region of San Luis Potosi. [Protologue, Alvarez, 30 miles SE of San Luis Potosi, 8000 ft.]	Powell, A. M.	Tridax palmeri
00902386	stained	http://n2t.net/ark:/65665/3a2fd4a00-766f-486a-90fd-50cafeb72fc5	http://n2t.net/ark:/65665/m370366f60-2212-44ff-85d4-d64ea1a86469	US	10239	C. Wright	1853			-- --- 1853 to -- --- 1856	Japan			Agenhu.		Sagina maxima
00902400	stained	http://n2t.net/ark:/65665/3c736b5a4-2d97-46d4-b34a-ff7ff3defe99	http://n2t.net/ark:/65665/m3c4a98cd7-1591-4538-9872-61ffd59ad7e9	US	1579452	J. Gossweiler	1932	10	13	13 Oct 1932	Angola	Cuanza Sul		Amboim. Between Zulo and Lacetes. Proximum Flumen, Carloaongo-Cuvo.		Psilanthopsis kapakata
00902450	stained	http://n2t.net/ark:/65665/33f3873b6-6cd5-4445-8121-aede48fed816	http://n2t.net/ark:/65665/m3c0b0835c-5266-4f3b-99fc-dde67f1f217d	US	1063882	G. W. Schimper	1837	6	20	20 Jun 1837	Ethiopia			"In latere euronoto praecipiti medio montis Scholoda [protologue, ""Crescit in latere Euronoto, et medio montis Selleuda prope Adoua, mense Junio""]"		Panicum gossypinum
00919533	stained	http://n2t.net/ark:/65665/382daea91-e5c4-4877-a940-aec0cf547864	http://n2t.net/ark:/65665/m3ecb7118c-9206-48cb-bb4f-cad42fe036e4	US	11544	A. Fendler	1850	3	24	24 Mar 1850	Panama			Chagres, Isthmus of Panama.		Ternstroemia seemannii
00921387	stained	http://n2t.net/ark:/65665/35ca48ab7-0e4d-4b03-8e35-72db02c2075d	http://n2t.net/ark:/65665/m342839093-bc84-4185-bb17-a7a5e09f3158	US	98810	H. N. Bolander	1866			-- --- 1866	United States	California				Monolepis spathulata
00921388	stained	http://n2t.net/ark:/65665/3ce912944-d4c3-45a3-b28e-4409bbbc0bde	http://n2t.net/ark:/65665/m3aa65a810-19c8-4c32-bf64-12a492abef9f	US	65546	C. Wright	1851			-- --- 1851 to -- --- 1852	United States	Texas				Obione occidentalis var. angustifolia
00930694	stained	http://n2t.net/ark:/65665/36e8e3022-16d8-4991-b4a0-525b7df4ecba	http://n2t.net/ark:/65665/m3fee2e74b-16c5-45a4-a4e4-fe52bd7dd80c	US	933704	C. G. Pringle	1893	9	7	07 Sep 1893	Mexico	Jalisco		Near Guadalajara.		Dioscorea pringlei
00930732	stained	http://n2t.net/ark:/65665/35cd2c148-5912-4eb3-848e-f9ef5f20044e	http://n2t.net/ark:/65665/m392eef33d-1946-4fbd-96ab-12b37c8050e5	US	40582	E. Bourgeau	1865			-- --- 1865 to -- --- 1866	Mexico			Vallée de Mexico, Pedrigal.		Alnus jorullensis f. media
00930791	stained	http://n2t.net/ark:/65665/31e338a09-48f8-47b0-b98e-efa5007a0b86	http://n2t.net/ark:/65665/m3d67941ea-4108-4370-b7db-bd13d93df91a	US	95293	C. Wright				-- --- ----	Cuba					Linociera bumelioides
00930870	stained	http://n2t.net/ark:/65665/3adabf201-8225-4b15-88bb-2bb60b3587fd	http://n2t.net/ark:/65665/m30a388e3f-3133-401e-bf14-9277d8a354b9	US	47749	E. Palmer	1880	2		-- Feb 1880 to -- Oct 1880	Mexico	Coahuila		Soledad.		Croton palmeri
00930920	stained	http://n2t.net/ark:/65665/3e85b7480-f7e7-4aeb-9a07-a47bbf24a14b	http://n2t.net/ark:/65665/m30e031d77-1858-438e-b0f3-fb20617d58e0	US	95297	H. H. Rusby	1886	8		-- Aug 1886	Bolivia			Junction of Rivers Beni and Madre de Dios.		Casearia membranacea
00931052	stained	http://n2t.net/ark:/65665/35aa1a1e2-5d72-48f7-892f-d46fa76eca6a	http://n2t.net/ark:/65665/m3e0fce00b-3018-4c5c-bdf0-12687e7dda63	US	26539	H. N. Bolander	1866			-- --- 1866	United States	California		Mariposa Sequoia Grove.		Rudbeckia californica
00931062	stained	http://n2t.net/ark:/65665/3c229436a-71ad-47c3-a613-a68c0fd35339	http://n2t.net/ark:/65665/m388191e3d-b491-4cd5-b90e-6020a133c4ae	US	47388	C. C. Parry, J. M. Bigelow, C. Wright & A. Schott				-- --- ----	United States	Texas		"Valley of the Río Grande, below Doñana. [Protologue, ""Valley of the Limpio, W. Texas, July, 1852; Bigelow""]"		Bahia bigelovii
00931087	stained	http://n2t.net/ark:/65665/317a95947-73a7-4c7c-8c3e-276b2ed98bbc	http://n2t.net/ark:/65665/m3d3cd6066-a45f-4af1-aec5-70acd8d79869	US	96030	E. Bourgeau	1865			-- --- 1865 to -- --- 1866	Mexico			Valley of Córdova.		Hebanthe subnuda
00931114	stained	http://n2t.net/ark:/65665/39bef4372-9588-494b-aa2d-aa8a4a51978a	http://n2t.net/ark:/65665/m32bb13c8b-6a38-4f24-932b-2b0d5f8d1be0	US	60879	L. F. Ward	1875			-- --- 1875	United States	Utah		"[Protologue, ""Rabbit Valley, S. Utah""]"		Angelica leporina
00931115	stained	http://n2t.net/ark:/65665/33d29c152-febd-470e-9fd7-cd5730a849f9	http://n2t.net/ark:/65665/m3b5b39d95-ce65-4624-bde8-63d689edb4ab	US	44313	E. Palmer	1869			-- --- 1869	United States	Arizona				Cymopterus purpureus
00931229	stained	http://n2t.net/ark:/65665/329790e5d-6983-4a66-abe3-1d982f10c4e9	http://n2t.net/ark:/65665/m321fdc833-2308-4c68-b6b0-5eb045d9695f	US	1402680	E. Palmer	1880	5	1	01 May 1880 to 10 May 1880	Mexico	Coahuila		San Lorenzo de Laguna and vicinity, 22 to 27 leagues southwest from Parras, State of Coahuila.		Flaveria palmeri
00931280	stained	http://n2t.net/ark:/65665/3b03e1ef5-a6b1-4f13-86b8-bc4fb1ce2d0b	http://n2t.net/ark:/65665/m38a1ddff7-a13d-4137-bc6f-7dceb8562db1	US	96077	E. Palmer	1885	8		Aug 1885 to  Nov 1885	Mexico	Chihuahua		South-western Chihuahua.		Kyrstenia thyrsiflora
00931287	stained	http://n2t.net/ark:/65665/3c207d205-eac9-485e-b4b7-eb923e023c0e	http://n2t.net/ark:/65665/m3315ddd55-49dc-4be8-803a-e9fc427fb4d4	US	96078	C. G. Pringle	1887	9	12	12 Sep 1887	Mexico	Chihuahua		Base of Sierra Madre.		Eupatorium koelliaefolium
00931301	stained	http://n2t.net/ark:/65665/3a7589380-9fa8-41a5-81fc-d18dcd2c8148	http://n2t.net/ark:/65665/m3ed9ac9ff-d262-4bf9-9688-fb6d87fdd497	US	10801	J. C. Frémont	1846			-- --- 1846	United States	California				Spraguea umbellata
00931359	stained	http://n2t.net/ark:/65665/378372d09-9141-40cc-9b0f-263e3f7c9921	http://n2t.net/ark:/65665/m3d602771d-8214-4064-bc09-459ee5a2eac3	US	73827	E. Palmer	1886	7		-- Jul 1886 to -- Oct 1886	Mexico	Jalisco		Río Blanco.		Coleosanthus polyanthemus
00931415	stained	http://n2t.net/ark:/65665/35b058c3f-1550-44ca-bf06-f0207725064e	http://n2t.net/ark:/65665/m3121b980f-0465-47ba-a10b-28e5fc387982	US	142761	L. F. Ward	1875	7	15	15 Jul 1875	United States	Utah		Below Rabbit Valley, opposite the palisades.		Gaillardia spathulata
00931440	stained	http://n2t.net/ark:/65665/3858b1e54-83c4-4085-a55b-705a0ffbc11b	http://n2t.net/ark:/65665/m30dc5d6a5-0744-4940-b973-28052362896d	US	41625	E. Palmer	1885	8		Aug 1885 to  Nov 1885	Mexico	Chihuahua		South-western Chihuahua.		Ficus radulina
00931441	stained	http://n2t.net/ark:/65665/302c0ddfc-e81f-40c5-9086-b190e5f2d5d2	http://n2t.net/ark:/65665/m37d512fe4-1633-46cf-b6f6-41a0cd762e69	US	41629	E. Palmer	1887			-- --- 1887	Mexico	Baja California				Ficus palmeri
